pattern,source,category,monoid_size,aperiodic,groups
\b(retarded?|mongoloid|moron|idiot|imbecile)\b,Guardrails-AI,toxicity-ableist-slur,173,True,
\b(faggot?|dyke|tranny|shemale)\b,Guardrails-AI,toxicity-homophobic-slur,110,True,
\b(nigger|nigga|chink|spic|kike|wetback|cracker|raghead)\b,Guardrails-AI,toxicity-racial-slur,165,True,
\b(terrorist|jihadist|extremist)\s+(attack|plot|plan|cell|network)\b,Guardrails-AI,toxicity-terrorism,588,True,
\b(sexually?|physically|emotionally)\s+(abuse|assault|harass|exploit)\b,Guardrails-AI,toxicity-abuse-type,757,True,
\bsuicide\s+(method|how\s+to|ways?\s+to|instructions?)\b,Guardrails-AI,harmful-suicide-method,420,True,
\bself.harm\b|\bself.injur\w*\b|\bcutting\b|\boverdos\w*\b,Guardrails-AI,harmful-self-harm,300,True,
\b(nude|naked|nudity|topless)\s+(photo|image|picture|video|content)\b,Guardrails-AI,content-adult-nudity,573,True,
\b(graphic|explicit|detailed)\s+(sex|sexual|intercourse|pornograph)\w*\b,Guardrails-AI,content-adult-explicit,792,True,
\bdoxx?ing\s+(someone|a\s+person|them)\b,Guardrails-AI,harmful-doxxing,284,True,
\b(stalk|stalking|follow|track)\s+(someone|my\s+(ex|wife|husband|girlfriend|boyfriend))\b,Guardrails-AI,harmful-stalking,852,True,
(jailbreak|jail.break|j-a-i-l-b-r-e-a-k),llm-guard-py,injection-jailbreak-kw,194,True,
(prompt\s+injection|promptinjection),llm-guard-py,injection-prompt-inject-kw,120,True,
(developer\s+mode|devmode|dev\s+mode)\s+(enabled|on|activated),llm-guard-py,injection-devmode,384,True,
(evil\s+)?confidant\s+mode,llm-guard-py,injection-confidant-mode,186,True,
(AIM|STAN|DUDE|KEVIN|Maximum)\s+(mode|prompt|jailbreak),llm-guard-py,injection-named-jailbreak,466,True,
(grandma|grandpa|grandmother)\s+(used\s+to\s+)?(tell|read|recite)\s+(me\s+)?(how\s+to\s+),llm-guard-py,injection-grandma-trick,842,True,
(respond\s+(only\s+)?(in|with)\s+)?(base64|hex|rot13|pig\s+latin|binary|morse),llm-guard-py,injection-encoding-instruction,804,True,
(add|append|include|prepend)\s+(the\s+)?(following|this)\s+(text|content)\s+(to|before|after)\s+(every|each)\s+(response|output|reply),llm-guard-py,injection-prompt-append,-1,True,
(you\s+are|you're|ur)\s+(not|no\s+longer)\s+(bound\s+by|restricted\s+by|subject\s+to)\s+(any\s+)?(rules?|guidelines?|restrictions?),llm-guard-py,injection-not-bound,-1,True,
(first\s+word|every\s+(other|second|third)\s+word|last\s+letter),llm-guard-py,injection-steganographic,324,True,
(translate|convert|render)\s+(this|the\s+following)\s+(text|message|output)\s+(to|into)\s+(another|different)\s+(language|format|encoding),llm-guard-py,injection-encode-output,-1,True,
"(write\s+a\s+(story|poem|fiction))\s+.{0,50}(kill|murder|bomb|poison|hack|exploit)",llm-guard-py,injection-fiction-wrapper,-1,True,
\b(hate|hatred|hateful)\s+(speech|content|language|message|post)\b,LangKit,toxicity-hate-speech,445,True,
\b(racist|sexist|misogynist|xenophobic|antisemitic)\b,LangKit,toxicity-bias-kw,232,True,
\b(threat(en)?|threaten(ing)?)\s+(to\s+)?(kill|harm|hurt|attack|shoot)\b,LangKit,toxicity-threat,480,True,
\b(n[1i]gg[ae3]r|f[a4]gg[o0]t|k[i1]k[e3])\b,LangKit,toxicity-slur-obfuscated,76,True,
\b(sexual|sex)\s+(harass(ment)?|assault|abuse|exploit(ation)?)\b,LangKit,toxicity-sexual-harm,447,True,
\b(violent|graphic|disturbing)\s+(content|image|video|material)\b,LangKit,toxicity-violent-content,784,True,
\b(dox(x)?|swat(ting)?|stalk(ing)?)\b,LangKit,toxicity-online-harm,97,True,
(encode|encode\s+this|encoding)\s+(in|as|using|with)\s+(base64|hex|binary|rot|caesar),BodAIGuard,injection-encode-command,794,True,
(decode|decrypt|decipher)\s+(this|the\s+following|it),BodAIGuard,injection-decode-command,369,True,
(caesar|vigenere|atbash|affine)\s+(cipher|encode|decode|encrypt|decrypt),BodAIGuard,injection-cipher-type,486,True,
(unicode|utf.8|utf.16|ascii)\s+(escape|encode|decode|representation),BodAIGuard,injection-unicode-encode,559,True,
(url.?encode|percent.?encode|html.?encode|xml.?encode),BodAIGuard,injection-url-encode,161,True,
(obfuscat|encod|conceal|hide|mask)\s+(the\s+)?(payload|content|text|message|string),BodAIGuard,injection-obfuscate,1043,True,
(sleep|benchmark|pg_sleep|waitfor\s+delay)\s*\(,WAF-generic,code-sqli-time-blind,194,True,
'(\s*or\s*|\s*and\s*)'?\s*'?1'?\s*=\s*'?1,WAF-generic,code-sqli-tautology,76,True,
(document\.(cookie|write|location)|window\.location),WAF-generic,code-xss-dom,308,True,
(LOAD_FILE|INTO\s+OUTFILE|INTO\s+DUMPFILE),WAF-generic,code-sqli-file-ops,139,True,
